Wert,Jahr,Kernkraftwerk,Erzeugung/ Arbeitsausnutzung
25692,2002,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
91.7,2002,Kernkraftwerke - Total,Arbeitsausnutzung in %
2884,2002,Beznau I,Elektrizitätserzeugung in GWh
90.7,2002,Beznau I,Arbeitsausnutzung in %
3001,2002,Beznau II,Elektrizitätserzeugung in GWh
93.9,2002,Beznau II,Arbeitsausnutzung in %
2839,2002,Mühleberg,Elektrizitätserzeugung in GWh
91.3,2002,Mühleberg,Arbeitsausnutzung in %
7795,2002,Gösgen,Elektrizitätserzeugung in GWh
92.5,2002,Gösgen,Arbeitsausnutzung in %
9173,2002,Leibstadt,Elektrizitätserzeugung in GWh
90.9,2002,Leibstadt,Arbeitsausnutzung in %
25931,2003,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
92.2,2003,Kernkraftwerke - Total,Arbeitsausnutzung in %
3038,2003,Beznau I,Elektrizitätserzeugung in GWh
95.6,2003,Beznau I,Arbeitsausnutzung in %
2912,2003,Beznau II,Elektrizitätserzeugung in GWh
91.1,2003,Beznau II,Arbeitsausnutzung in %
2748,2003,Mühleberg,Elektrizitätserzeugung in GWh
88.4,2003,Mühleberg,Arbeitsausnutzung in %
7924,2003,Gösgen,Elektrizitätserzeugung in GWh
94,2003,Gösgen,Arbeitsausnutzung in %
9309,2003,Leibstadt,Elektrizitätserzeugung in GWh
91.2,2003,Leibstadt,Arbeitsausnutzung in %
25432,2004,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
90.2,2004,Kernkraftwerke - Total,Arbeitsausnutzung in %
2775,2004,Beznau I,Elektrizitätserzeugung in GWh
87.2,2004,Beznau I,Arbeitsausnutzung in %
3091,2004,Beznau II,Elektrizitätserzeugung in GWh
96.5,2004,Beznau II,Arbeitsausnutzung in %
2920,2004,Mühleberg,Elektrizitätserzeugung in GWh
93.6,2004,Mühleberg,Arbeitsausnutzung in %
7954,2004,Gösgen,Elektrizitätserzeugung in GWh
94.1,2004,Gösgen,Arbeitsausnutzung in %
8692,2004,Leibstadt,Elektrizitätserzeugung in GWh
84.9,2004,Leibstadt,Arbeitsausnutzung in %
22020,2005,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
78.3,2005,Kernkraftwerke - Total,Arbeitsausnutzung in %
3069,2005,Beznau I,Elektrizitätserzeugung in GWh
96.6,2005,Beznau I,Arbeitsausnutzung in %
2796,2005,Beznau II,Elektrizitätserzeugung in GWh
87.5,2005,Beznau II,Arbeitsausnutzung in %
2857,2005,Mühleberg,Elektrizitätserzeugung in GWh
91.9,2005,Mühleberg,Arbeitsausnutzung in %
7530,2005,Gösgen,Elektrizitätserzeugung in GWh
89.3,2005,Gösgen,Arbeitsausnutzung in %
5768,2005,Leibstadt,Elektrizitätserzeugung in GWh
56.5,2005,Leibstadt,Arbeitsausnutzung in %
26244,2006,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
93.4,2006,Kernkraftwerke - Total,Arbeitsausnutzung in %
2920,2006,Beznau I,Elektrizitätserzeugung in GWh
91.9,2006,Beznau I,Arbeitsausnutzung in %
3058,2006,Beznau II,Elektrizitätserzeugung in GWh
95.7,2006,Beznau II,Arbeitsausnutzung in %
2867,2006,Mühleberg,Elektrizitätserzeugung in GWh
92.2,2006,Mühleberg,Arbeitsausnutzung in %
8032,2006,Gösgen,Elektrizitätserzeugung in GWh
95.4,2006,Gösgen,Arbeitsausnutzung in %
9367,2006,Leibstadt,Elektrizitätserzeugung in GWh
91.8,2006,Leibstadt,Arbeitsausnutzung in %
26344,2007,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
93.7,2007,Kernkraftwerke - Total,Arbeitsausnutzung in %
3045,2007,Beznau I,Elektrizitätserzeugung in GWh
95.8,2007,Beznau I,Arbeitsausnutzung in %
2894,2007,Beznau II,Elektrizitätserzeugung in GWh
90.5,2007,Beznau II,Arbeitsausnutzung in %
2881,2007,Mühleberg,Elektrizitätserzeugung in GWh
92.6,2007,Mühleberg,Arbeitsausnutzung in %
8087,2007,Gösgen,Elektrizitätserzeugung in GWh
96.1,2007,Gösgen,Arbeitsausnutzung in %
9437,2007,Leibstadt,Elektrizitätserzeugung in GWh
92.5,2007,Leibstadt,Arbeitsausnutzung in %
26132,2008,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
92.7,2008,Kernkraftwerke - Total,Arbeitsausnutzung in %
2918,2008,Beznau I,Elektrizitätserzeugung in GWh
91.7,2008,Beznau I,Arbeitsausnutzung in %
3052,2008,Beznau II,Elektrizitätserzeugung in GWh
95.2,2008,Beznau II,Arbeitsausnutzung in %
2956,2008,Mühleberg,Elektrizitätserzeugung in GWh
94.8,2008,Mühleberg,Arbeitsausnutzung in %
7898,2008,Gösgen,Elektrizitätserzeugung in GWh
93.5,2008,Gösgen,Arbeitsausnutzung in %
9308,2008,Leibstadt,Elektrizitätserzeugung in GWh
91,2008,Leibstadt,Arbeitsausnutzung in %
26119,2009,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
92.4,2009,Kernkraftwerke - Total,Arbeitsausnutzung in %
3025,2009,Beznau I,Elektrizitätserzeugung in GWh
95.3,2009,Beznau I,Arbeitsausnutzung in %
2742,2009,Beznau II,Elektrizitätserzeugung in GWh
85.8,2009,Beznau II,Arbeitsausnutzung in %
2954,2009,Mühleberg,Elektrizitätserzeugung in GWh
90.4,2009,Mühleberg,Arbeitsausnutzung in %
8013,2009,Gösgen,Elektrizitätserzeugung in GWh
95.1,2009,Gösgen,Arbeitsausnutzung in %
9385,2009,Leibstadt,Elektrizitätserzeugung in GWh
92,2009,Leibstadt,Arbeitsausnutzung in %
25205,2010,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
88.7,2010,Kernkraftwerke - Total,Arbeitsausnutzung in %
2634,2010,Beznau I,Elektrizitätserzeugung in GWh
83.1,2010,Beznau I,Arbeitsausnutzung in %
2832,2010,Beznau II,Elektrizitätserzeugung in GWh
88.6,2010,Beznau II,Arbeitsausnutzung in %
2976,2010,Mühleberg,Elektrizitätserzeugung in GWh
91.1,2010,Mühleberg,Arbeitsausnutzung in %
7979,2010,Gösgen,Elektrizitätserzeugung in GWh
93.1,2010,Gösgen,Arbeitsausnutzung in %
8784,2010,Leibstadt,Elektrizitätserzeugung in GWh
86.1,2010,Leibstadt,Arbeitsausnutzung in %
25560,2011,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
89.3,2011,Kernkraftwerke - Total,Arbeitsausnutzung in %
3022,2011,Beznau I,Elektrizitätserzeugung in GWh
95.2,2011,Beznau I,Arbeitsausnutzung in %
2715,2011,Beznau II,Elektrizitätserzeugung in GWh
84.9,2011,Beznau II,Arbeitsausnutzung in %
2482,2011,Mühleberg,Elektrizitätserzeugung in GWh
76,2011,Mühleberg,Arbeitsausnutzung in %
7859,2011,Gösgen,Elektrizitätserzeugung in GWh
91.7,2011,Gösgen,Arbeitsausnutzung in %
9482,2011,Leibstadt,Elektrizitätserzeugung in GWh
91,2011,Leibstadt,Arbeitsausnutzung in %
24345,2012,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
