Value,Jahr,Primärenergieträger,Einheit
"""...""",1923,Übrige erneuerbare Energien,Anteil in %
118700,1923,Gesamter Energieeinsatz,In TJ
101.6093134737203,1923,Gesamter Energieeinsatz,Anteil in %
-1880,1923,Elektrizität Import / Export-Saldo,In TJ
-1.609313473720254,1923,Elektrizität Import / Export-Saldo,Anteil in %
116820,1923,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1923,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
21070,1924,Holz und Holzkohle,In TJ
18.74555160142349,1924,Holz und Holzkohle,Anteil in %
13320,1924,Wasserkraft,In TJ
11.85053380782918,1924,Wasserkraft,Anteil in %
"""...""",1924,Müll und Industrieabfälle,In TJ
"""...""",1924,Müll und Industrieabfälle,Anteil in %
76530,1924,Kohle,In TJ
68.08718861209964,1924,Kohle,Anteil in %
3520,1924,Rohöl und Erdölprodukte,In TJ
3.131672597864769,1924,Rohöl und Erdölprodukte,Anteil in %
"""...""",1924,Gas,In TJ
"""...""",1924,Gas,Anteil in %
"""...""",1924,Kernbrennstoffe,In TJ
"""...""",1924,Kernbrennstoffe,Anteil in %
"""...""",1924,Übrige erneuerbare Energien,In TJ
"""...""",1924,Übrige erneuerbare Energien,Anteil in %
114440,1924,Gesamter Energieeinsatz,In TJ
101.8149466192171,1924,Gesamter Energieeinsatz,Anteil in %
-2040,1924,Elektrizität Import / Export-Saldo,In TJ
-1.814946619217082,1924,Elektrizität Import / Export-Saldo,Anteil in %
112400,1924,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1924,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
19930,1925,Holz und Holzkohle,In TJ
17.17363205514864,1925,Holz und Holzkohle,Anteil in %
14400,1925,Wasserkraft,In TJ
12.40844463593279,1925,Wasserkraft,Anteil in %
"""...""",1925,Müll und Industrieabfälle,In TJ
"""...""",1925,Müll und Industrieabfälle,Anteil in %
79590,1925,Kohle,In TJ
68.58250753985351,1925,Kohle,Anteil in %
4480,1925,Rohöl und Erdölprodukte,In TJ
3.860404997845756,1925,Rohöl und Erdölprodukte,Anteil in %
"""...""",1925,Gas,In TJ
"""...""",1925,Gas,Anteil in %
"""...""",1925,Kernbrennstoffe,In TJ
"""...""",1925,Kernbrennstoffe,Anteil in %
"""...""",1925,Übrige erneuerbare Energien,In TJ
"""...""",1925,Übrige erneuerbare Energien,Anteil in %
118400,1925,Gesamter Energieeinsatz,In TJ
102.0249892287807,1925,Gesamter Energieeinsatz,Anteil in %
-2350,1925,Elektrizität Import / Export-Saldo,In TJ
-2.024989228780698,1925,Elektrizität Import / Export-Saldo,Anteil in %
116050,1925,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1925,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
20010,1926,Holz und Holzkohle,In TJ
17.10402598512694,1926,Holz und Holzkohle,Anteil in %
15840,1926,Wasserkraft,In TJ
13.53961877083511,1926,Wasserkraft,Anteil in %
"""...""",1926,Müll und Industrieabfälle,In TJ
"""...""",1926,Müll und Industrieabfälle,Anteil in %
79260,1926,Kohle,In TJ
67.74938028891359,1926,Kohle,Anteil in %
4950,1926,Rohöl und Erdölprodukte,In TJ
4.231130865885973,1926,Rohöl und Erdölprodukte,Anteil in %
"""...""",1926,Gas,In TJ
"""...""",1926,Gas,Anteil in %
"""...""",1926,Kernbrennstoffe,In TJ
"""...""",1926,Kernbrennstoffe,Anteil in %
"""...""",1926,Übrige erneuerbare Energien,In TJ
"""...""",1926,Übrige erneuerbare Energien,Anteil in %
120060,1926,Gesamter Energieeinsatz,In TJ
102.6241559107616,1926,Gesamter Energieeinsatz,Anteil in %
-3070,1926,Elektrizität Import / Export-Saldo,In TJ
-2.624155910761604,1926,Elektrizität Import / Export-Saldo,Anteil in %
116990,1926,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1926,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
19110,1927,Holz und Holzkohle,In TJ
14.89129587781501,1927,Holz und Holzkohle,Anteil in %
17100,1927,Wasserkraft,In TJ
13.32502142912803,1927,Wasserkraft,Anteil in %
"""...""",1927,Müll und Industrieabfälle,In TJ
"""...""",1927,Müll und Industrieabfälle,Anteil in %
89590,1927,Kohle,In TJ
69.81220291436141,1927,Kohle,Anteil in %
5990,1927,Rohöl und Erdölprodukte,In TJ
4.667653705291047,1927,Rohöl und Erdölprodukte,Anteil in %
"""...""",1927,Gas,In TJ
"""...""",1927,Gas,Anteil in %
"""...""",1927,Kernbrennstoffe,In TJ
"""...""",1927,Kernbrennstoffe,Anteil in %
"""...""",1927,Übrige erneuerbare Energien,In TJ
"""...""",1927,Übrige erneuerbare Energien,Anteil in %
131790,1927,Gesamter Energieeinsatz,In TJ
102.6961739265955,1927,Gesamter Energieeinsatz,Anteil in %
-3460,1927,Elektrizität Import / Export-Saldo,In TJ
-2.696173926595496,1927,Elektrizität Import / Export-Saldo,Anteil in %
128330,1927,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1927,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
19420,1928,Holz und Holzkohle,In TJ
14.90864424996162,1928,Holz und Holzkohle,Anteil in %
18180,1928,Wasserkraft,In TJ
13.95670198065408,1928,Wasserkraft,Anteil in %
"""...""",1928,Müll und Industrieabfälle,In TJ
"""...""",1928,Müll und Industrieabfälle,Anteil in %
89060,1928,Kohle,In TJ
68.37095040687855,1928,Kohle,Anteil in %
7320,1928,Rohöl und Erdölprodukte,In TJ
5.619530170428374,1928,Rohöl und Erdölprodukte,Anteil in %
"""...""",1928,Gas,In TJ
"""...""",1928,Gas,Anteil in %
"""...""",1928,Kernbrennstoffe,In TJ
"""...""",1928,Kernbrennstoffe,Anteil in %
"""...""",1928,Übrige erneuerbare Energien,In TJ
"""...""",1928,Übrige erneuerbare Energien,Anteil in %
133980,1928,Gesamter Energieeinsatz,In TJ
102.8558268079226,1928,Gesamter Energieeinsatz,Anteil in %
-3720,1928,Elektrizität Import / Export-Saldo,In TJ
-2.855826807922616,1928,Elektrizität Import / Export-Saldo,Anteil in %
130260,1928,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1928,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
20060,1929,Holz und Holzkohle,In TJ
13.65090166723375,1929,Holz und Holzkohle,Anteil in %
19080,1929,Wasserkraft,In TJ
12.98400816604287,1929,Wasserkraft,Anteil in %
"""...""",1929,Müll und Industrieabfälle,In TJ
"""...""",1929,Müll und Industrieabfälle,Anteil in %
102530,1929,Kohle,In TJ
69.77203130316434,1929,Kohle,Anteil in %
8840,1929,Rohöl und Erdölprodukte,In TJ
6.015651582170807,1929,Rohöl und Erdölprodukte,Anteil in %
"""...""",1929,Gas,In TJ
"""...""",1929,Gas,Anteil in %
"""...""",1929,Kernbrennstoffe,In TJ
"""...""",1929,Kernbrennstoffe,Anteil in %
