Wert,Jahr,Energietyp,Aus-/ Einfuhr
76580,1991,Gas (TJ),Einfuhr
0,1991,Gas (TJ),Ausfuhr
76580,1991,Gas (TJ),Saldo
"""...""",1991,Biotreibstoffe (TJ),Einfuhr
"""...""",1991,Biotreibstoffe (TJ),Ausfuhr
"""...""",1991,Biotreibstoffe (TJ),Saldo
24005,1991,Elektrizität (GWh),Einfuhr
26801,1991,Elektrizität (GWh),Ausfuhr
-2796,1991,Elektrizität (GWh),Saldo
410,1992,Holz und Holzkohle (TJ),Einfuhr
300,1992,Holz und Holzkohle (TJ),Ausfuhr
110,1992,Holz und Holzkohle (TJ),Saldo
13451,1992,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
416,1992,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
13035,1992,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
195,1992,Kohle (in 1000 t),Einfuhr
4,1992,Kohle (in 1000 t),Ausfuhr
191,1992,Kohle (in 1000 t),Saldo
80510,1992,Gas (TJ),Einfuhr
0,1992,Gas (TJ),Ausfuhr
80510,1992,Gas (TJ),Saldo
"""...""",1992,Biotreibstoffe (TJ),Einfuhr
"""...""",1992,Biotreibstoffe (TJ),Ausfuhr
"""...""",1992,Biotreibstoffe (TJ),Saldo
21757,1992,Elektrizität (GWh),Einfuhr
26046,1992,Elektrizität (GWh),Ausfuhr
-4289,1992,Elektrizität (GWh),Saldo
400,1993,Holz und Holzkohle (TJ),Einfuhr
200,1993,Holz und Holzkohle (TJ),Ausfuhr
200,1993,Holz und Holzkohle (TJ),Saldo
12239,1993,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
622,1993,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
11617,1993,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
158,1993,Kohle (in 1000 t),Einfuhr
0,1993,Kohle (in 1000 t),Ausfuhr
158,1993,Kohle (in 1000 t),Saldo
84480,1993,Gas (TJ),Einfuhr
0,1993,Gas (TJ),Ausfuhr
84480,1993,Gas (TJ),Saldo
"""...""",1993,Biotreibstoffe (TJ),Einfuhr
"""...""",1993,Biotreibstoffe (TJ),Ausfuhr
"""...""",1993,Biotreibstoffe (TJ),Saldo
23854,1993,Elektrizität (GWh),Einfuhr
31053,1993,Elektrizität (GWh),Ausfuhr
-7199,1993,Elektrizität (GWh),Saldo
330,1994,Holz und Holzkohle (TJ),Einfuhr
240,1994,Holz und Holzkohle (TJ),Ausfuhr
90,1994,Holz und Holzkohle (TJ),Saldo
13041,1994,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
614,1994,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12427,1994,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
164,1994,Kohle (in 1000 t),Einfuhr
0,1994,Kohle (in 1000 t),Ausfuhr
164,1994,Kohle (in 1000 t),Saldo
83370,1994,Gas (TJ),Einfuhr
0,1994,Gas (TJ),Ausfuhr
83370,1994,Gas (TJ),Saldo
"""...""",1994,Biotreibstoffe (TJ),Einfuhr
"""...""",1994,Biotreibstoffe (TJ),Ausfuhr
"""...""",1994,Biotreibstoffe (TJ),Saldo
22723,1994,Elektrizität (GWh),Einfuhr
34566,1994,Elektrizität (GWh),Ausfuhr
-11843,1994,Elektrizität (GWh),Saldo
340,1995,Holz und Holzkohle (TJ),Einfuhr
170,1995,Holz und Holzkohle (TJ),Ausfuhr
170,1995,Holz und Holzkohle (TJ),Saldo
12013,1995,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
455,1995,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
11558,1995,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
244,1995,Kohle (in 1000 t),Einfuhr
8,1995,Kohle (in 1000 t),Ausfuhr
236,1995,Kohle (in 1000 t),Saldo
