Wert,Jahr,Produktion und Eigenverbrauch
32.4,1987,Deckung des Bedarfs (%)
1945,1988,Heizöl (Total)
1296,1988,Heizöl extraleicht
27,1988,Heizöl mittel
622,1988,Heizöl schwer
1564,1988,Treibstoffe (Total)
544,1988,Superbenzin
479,1988,Normalbenzin
244,1988,Flugpetrol
297,1988,Diesel
174,1988,Übrige energetische Produkte
153,1988,Nicht energetische Produkte
162,1988,Eigenverbrauch
3674,1988,Netto-Ausstoss
31.4,1988,Deckung des Bedarfs (%)
1383,1989,Heizöl (Total)
958,1989,Heizöl extraleicht
27,1989,Heizöl mittel
398,1989,Heizöl schwer
1239,1989,Treibstoffe (Total)
328,1989,Superbenzin
392,1989,Normalbenzin
252,1989,Flugpetrol
267,1989,Diesel
139,1989,Übrige energetische Produkte
156,1989,Nicht energetische Produkte
128,1989,Eigenverbrauch
2789,1989,Netto-Ausstoss
24.1,1989,Deckung des Bedarfs (%)
1428,1990,Heizöl (Total)
896,1990,Heizöl extraleicht
22,1990,Heizöl mittel
510,1990,Heizöl schwer
1239,1990,Treibstoffe (Total)
328,1990,Superbenzin
431,1990,Normalbenzin
229,1990,Flugpetrol
251,1990,Diesel
151,1990,Übrige energetische Produkte
147,1990,Nicht energetische Produkte
126,1990,Eigenverbrauch
2839,1990,Netto-Ausstoss
24.3,1990,Deckung des Bedarfs (%)
2295,1991,Heizöl (Total)
1367,1991,Heizöl extraleicht
19,1991,Heizöl mittel
909,1991,Heizöl schwer
1849,1991,Treibstoffe (Total)
400,1991,Superbenzin
753,1991,Normalbenzin
263,1991,Flugpetrol
433,1991,Diesel
211,1991,Übrige energetische Produkte
155,1991,Nicht energetische Produkte
183,1991,Eigenverbrauch
4327,1991,Netto-Ausstoss
35.4,1991,Deckung des Bedarfs (%)
2107,1992,Heizöl (Total)
1279,1992,Heizöl extraleicht
17,1992,Heizöl mittel
811,1992,Heizöl schwer
1632,1992,Treibstoffe (Total)
276,1992,Superbenzin
704,1992,Normalbenzin
245,1992,Flugpetrol
407,1992,Diesel
174,1992,Übrige energetische Produkte
