GWh,Jahr,Kraftwerkstyp
207,2005,Diverse Erneuerbare
57918,2005,Bruttoerzeugung
2631,2005,>> Abzüglich Verbrauch der Speicherpumpen
55287,2005,Nettoerzeugung
32557,2006,Wasserkraftwerke
26244,2006,Kernkraftwerke
3104,2006,Konventionell thermische Kraftwerke
236,2006,Diverse Erneuerbare
62141,2006,Bruttoerzeugung
2720,2006,>> Abzüglich Verbrauch der Speicherpumpen
59421,2006,Nettoerzeugung
36373,2007,Wasserkraftwerke
26344,2007,Kernkraftwerke
2894,2007,Konventionell thermische Kraftwerke
305,2007,Diverse Erneuerbare
65916,2007,Bruttoerzeugung
2104,2007,>> Abzüglich Verbrauch der Speicherpumpen
63812,2007,Nettoerzeugung
37559,2008,Wasserkraftwerke
26132,2008,Kernkraftwerke
2913,2008,Konventionell thermische Kraftwerke
363,2008,Diverse Erneuerbare
66967,2008,Bruttoerzeugung
2685,2008,>> Abzüglich Verbrauch der Speicherpumpen
64282,2008,Nettoerzeugung
37136,2009,Wasserkraftwerke
26119,2009,Kernkraftwerke
2817,2009,Konventionell thermische Kraftwerke
422,2009,Diverse Erneuerbare
66494,2009,Bruttoerzeugung
2523,2009,>> Abzüglich Verbrauch der Speicherpumpen
63971,2009,Nettoerzeugung
37450,2010,Wasserkraftwerke
25205,2010,Kernkraftwerke
3123,2010,Konventionell thermische Kraftwerke
474,2010,Diverse Erneuerbare
66252,2010,Bruttoerzeugung
2494,2010,>> Abzüglich Verbrauch der Speicherpumpen
63758,2010,Nettoerzeugung
33795,2011,Wasserkraftwerke
25560,2011,Kernkraftwerke
2866,2011,Konventionell thermische Kraftwerke
660,2011,Diverse Erneuerbare
62881,2011,Bruttoerzeugung
2466,2011,>> Abzüglich Verbrauch der Speicherpumpen
60415,2011,Nettoerzeugung
39906,2012,Wasserkraftwerke
24345,2012,Kernkraftwerke
2868,2012,Konventionell thermische Kraftwerke
900,2012,Diverse Erneuerbare
68019,2012,Bruttoerzeugung
2411,2012,>> Abzüglich Verbrauch der Speicherpumpen
65608,2012,Nettoerzeugung
39572,2013,Wasserkraftwerke
24871,2013,Kernkraftwerke
2721,2013,Konventionell thermische Kraftwerke
1148,2013,Diverse Erneuerbare
68312,2013,Bruttoerzeugung
2132,2013,>> Abzüglich Verbrauch der Speicherpumpen
66180,2013,Nettoerzeugung
39308,2014,Wasserkraftwerke
26370,2014,Kernkraftwerke
2447,2014,Konventionell thermische Kraftwerke
1508,2014,Diverse Erneuerbare
69633,2014,Bruttoerzeugung
2355,2014,>> Abzüglich Verbrauch der Speicherpumpen
67278,2014,Nettoerzeugung
