Wert,Jahr,Primärenergieträger,Einheit
1.266156686890003,1921,Treibstoffe,Anteil in %
7200,1921,Elektrizität,In TJ
9.49617515167502,1921,Elektrizität,Anteil in %
2000,1921,Gas,In TJ
2.637826431020839,1921,Gas,Anteil in %
48510,1921,Kohle,In TJ
63.98048008441045,1921,Kohle,Anteil in %
16760,1921,Holz und Holzkohle,In TJ
22.10498549195463,1921,Holz und Holzkohle,Anteil in %
"""...""",1921,Fernwärme,In TJ
"""...""",1921,Fernwärme,Anteil in %
"""...""",1921,Abfälle,In TJ
"""...""",1921,Abfälle,Anteil in %
"""...""",1921,Übrige erneuerbare Energien,In TJ
"""...""",1921,Übrige erneuerbare Energien,Anteil in %
92080,1922,Primärenergieträger - Total,In TJ
100,1922,Primärenergieträger - Total,Anteil in %
1010,1922,Erdölbrennstoffe,In TJ
1.096872284969592,1922,Erdölbrennstoffe,Anteil in %
1640,1922,Treibstoffe,In TJ
1.781059947871416,1922,Treibstoffe,Anteil in %
7850,1922,Elektrizität,In TJ
8.525195482189401,1922,Elektrizität,Anteil in %
2110,1922,Gas,In TJ
2.291485664639444,1922,Gas,Anteil in %
60480,1922,Kohle,In TJ
65.68201563857515,1922,Kohle,Anteil in %
18990,1922,Holz und Holzkohle,In TJ
20.623370981755,1922,Holz und Holzkohle,Anteil in %
"""...""",1922,Fernwärme,In TJ
"""...""",1922,Fernwärme,Anteil in %
"""...""",1922,Abfälle,In TJ
"""...""",1922,Abfälle,Anteil in %
"""...""",1922,Übrige erneuerbare Energien,In TJ
"""...""",1922,Übrige erneuerbare Energien,Anteil in %
111260,1923,Primärenergieträger - Total,In TJ
100,1923,Primärenergieträger - Total,Anteil in %
1200,1923,Erdölbrennstoffe,In TJ
1.078554736652885,1923,Erdölbrennstoffe,Anteil in %
1870,1923,Treibstoffe,In TJ
1.680747797950746,1923,Treibstoffe,Anteil in %
8570,1923,Elektrizität,In TJ
7.702678410929354,1923,Elektrizität,Anteil in %
2260,1923,Gas,In TJ
2.031278087362934,1923,Gas,Anteil in %
75480,1923,Kohle,In TJ
67.84109293546648,1923,Kohle,Anteil in %
21880,1923,Holz und Holzkohle,In TJ
19.66564803163761,1923,Holz und Holzkohle,Anteil in %
"""...""",1923,Fernwärme,In TJ
"""...""",1923,Fernwärme,Anteil in %
"""...""",1923,Abfälle,In TJ
"""...""",1923,Abfälle,Anteil in %
"""...""",1923,Übrige erneuerbare Energien,In TJ
"""...""",1923,Übrige erneuerbare Energien,Anteil in %
106810,1924,Primärenergieträger - Total,In TJ
100,1924,Primärenergieträger - Total,Anteil in %
1520,1924,Erdölbrennstoffe,In TJ
1.423087725868364,1924,Erdölbrennstoffe,Anteil in %
2000,1924,Treibstoffe,In TJ
1.872483849826795,1924,Treibstoffe,Anteil in %
9760,1924,Elektrizität,In TJ
9.13772118715476,1924,Elektrizität,Anteil in %
2400,1924,Gas,In TJ
2.246980619792154,1924,Gas,Anteil in %
70060,1924,Kohle,In TJ
65.59310925943264,1924,Kohle,Anteil in %
21070,1924,Holz und Holzkohle,In TJ
19.72661735792529,1924,Holz und Holzkohle,Anteil in %
"""...""",1924,Fernwärme,In TJ
"""...""",1924,Fernwärme,Anteil in %
"""...""",1924,Abfälle,In TJ
"""...""",1924,Abfälle,Anteil in %
"""...""",1924,Übrige erneuerbare Energien,In TJ
"""...""",1924,Übrige erneuerbare Energien,Anteil in %
109960,1925,Primärenergieträger - Total,In TJ
100,1925,Primärenergieträger - Total,Anteil in %
1560,1925,Erdölbrennstoffe,In TJ
1.418697708257548,1925,Erdölbrennstoffe,Anteil in %
2920,1925,Treibstoffe,In TJ
2.655511094943616,1925,Treibstoffe,Anteil in %
10330,1925,Elektrizität,In TJ
9.39432520916697,1925,Elektrizität,Anteil in %
2570,1925,Gas,In TJ
2.337213532193525,1925,Gas,Anteil in %
72650,1925,Kohle,In TJ
66.06947981084031,1925,Kohle,Anteil in %
19930,1925,Holz und Holzkohle,In TJ
18.12477264459804,1925,Holz und Holzkohle,Anteil in %
"""...""",1925,Fernwärme,In TJ
"""...""",1925,Fernwärme,Anteil in %
"""...""",1925,Abfälle,In TJ
"""...""",1925,Abfälle,Anteil in %
"""...""",1925,Übrige erneuerbare Energien,In TJ
"""...""",1925,Übrige erneuerbare Energien,Anteil in %
110530,1926,Primärenergieträger - Total,In TJ
100,1926,Primärenergieträger - Total,Anteil in %
1760,1926,Erdölbrennstoffe,In TJ
1.592327874785126,1926,Erdölbrennstoffe,Anteil in %
3190,1926,Treibstoffe,In TJ
2.886094273048041,1926,Treibstoffe,Anteil in %
10870,1926,Elektrizität,In TJ
9.834434090292229,1926,Elektrizität,Anteil in %
2720,1926,Gas,In TJ
2.460870351940649,1926,Gas,Anteil in %
71980,1926,Kohle,In TJ
65.12259115172351,1926,Kohle,Anteil in %
20010,1926,Holz und Holzkohle,In TJ
18.10368225821044,1926,Holz und Holzkohle,Anteil in %
"""...""",1926,Fernwärme,In TJ
"""...""",1926,Fernwärme,Anteil in %
"""...""",1926,Abfälle,In TJ
"""...""",1926,Abfälle,Anteil in %
"""...""",1926,Übrige erneuerbare Energien,In TJ
"""...""",1926,Übrige erneuerbare Energien,Anteil in %
121120,1927,Primärenergieträger - Total,In TJ
100,1927,Primärenergieträger - Total,Anteil in %
2010,1927,Erdölbrennstoffe,In TJ
1.659511228533686,1927,Erdölbrennstoffe,Anteil in %
3980,1927,Treibstoffe,In TJ
3.285997357992074,1927,Treibstoffe,Anteil in %
11560,1927,Elektrizität,In TJ
9.544253632760899,1927,Elektrizität,Anteil in %
2900,1927,Gas,In TJ
2.394319682959049,1927,Gas,Anteil in %
81560,1927,Kohle,In TJ
67.33817701453104,1927,Kohle,Anteil in %
19110,1927,Holz und Holzkohle,In TJ
15.77774108322325,1927,Holz und Holzkohle,Anteil in %
"""...""",1927,Fernwärme,In TJ
"""...""",1927,Fernwärme,Anteil in %
"""...""",1927,Abfälle,In TJ
"""...""",1927,Abfälle,Anteil in %
