Wert,Erwerbsstatus,Wirtschaftsabschnitt,Quartal
1776,Erwerbsstatus - Total,- Primärsektor,2013Q2
1782.3,Erwerbsstatus - Total,- Primärsektor,2013Q3
1667.2,Erwerbsstatus - Total,- Primärsektor,2013Q4
1669.7,Erwerbsstatus - Total,- Primärsektor,2014Q1
1744.6,Erwerbsstatus - Total,- Primärsektor,2014Q2
1760.6,Erwerbsstatus - Total,- Primärsektor,2014Q3
1730.6,Erwerbsstatus - Total,- Primärsektor,2014Q4
1753.3,Erwerbsstatus - Total,- Primärsektor,2015Q1
1812.7,Erwerbsstatus - Total,- Primärsektor,2015Q2
1840.2,Erwerbsstatus - Total,- Primärsektor,2015Q3
1781.8,Erwerbsstatus - Total,- Primärsektor,2015Q4
1791.6,Erwerbsstatus - Total,- Primärsektor,2016Q1
1872.9,Erwerbsstatus - Total,- Primärsektor,2016Q2
1931.5,Erwerbsstatus - Total,- Primärsektor,2016Q3
74851.7,Erwerbsstatus - Total,- Sekundärsektor,2002Q1
75015,Erwerbsstatus - Total,- Sekundärsektor,2002Q2
75057.2,Erwerbsstatus - Total,- Sekundärsektor,2002Q3
74359.3,Erwerbsstatus - Total,- Sekundärsektor,2002Q4
74194,Erwerbsstatus - Total,- Sekundärsektor,2003Q1
74563.4,Erwerbsstatus - Total,- Sekundärsektor,2003Q2
74569.9,Erwerbsstatus - Total,- Sekundärsektor,2003Q3
73661,Erwerbsstatus - Total,- Sekundärsektor,2003Q4
74055.2,Erwerbsstatus - Total,- Sekundärsektor,2004Q1
75753,Erwerbsstatus - Total,- Sekundärsektor,2004Q2
74841.8,Erwerbsstatus - Total,- Sekundärsektor,2004Q3
74194.4,Erwerbsstatus - Total,- Sekundärsektor,2004Q4
75026.7,Erwerbsstatus - Total,- Sekundärsektor,2005Q1
75279.9,Erwerbsstatus - Total,- Sekundärsektor,2005Q2
74918.7,Erwerbsstatus - Total,- Sekundärsektor,2005Q3
74986.4,Erwerbsstatus - Total,- Sekundärsektor,2005Q4
75998.1,Erwerbsstatus - Total,- Sekundärsektor,2006Q1
78145.5,Erwerbsstatus - Total,- Sekundärsektor,2006Q2
80144.7,Erwerbsstatus - Total,- Sekundärsektor,2006Q3
80784.7,Erwerbsstatus - Total,- Sekundärsektor,2006Q4
82901.9,Erwerbsstatus - Total,- Sekundärsektor,2007Q1
84961.9,Erwerbsstatus - Total,- Sekundärsektor,2007Q2
86146.7,Erwerbsstatus - Total,- Sekundärsektor,2007Q3
85922.5,Erwerbsstatus - Total,- Sekundärsektor,2007Q4
87469.3,Erwerbsstatus - Total,- Sekundärsektor,2008Q1
89282.8,Erwerbsstatus - Total,- Sekundärsektor,2008Q2
89680.5,Erwerbsstatus - Total,- Sekundärsektor,2008Q3
88731.7,Erwerbsstatus - Total,- Sekundärsektor,2008Q4
88735.9,Erwerbsstatus - Total,- Sekundärsektor,2009Q1
89388.2,Erwerbsstatus - Total,- Sekundärsektor,2009Q2
88674.9,Erwerbsstatus - Total,- Sekundärsektor,2009Q3
87791.3,Erwerbsstatus - Total,- Sekundärsektor,2009Q4
89067.9,Erwerbsstatus - Total,- Sekundärsektor,2010Q1
91034.7,Erwerbsstatus - Total,- Sekundärsektor,2010Q2
91575.5,Erwerbsstatus - Total,- Sekundärsektor,2010Q3
91269.3,Erwerbsstatus - Total,- Sekundärsektor,2010Q4
92838.7,Erwerbsstatus - Total,- Sekundärsektor,2011Q1
95257.1,Erwerbsstatus - Total,- Sekundärsektor,2011Q2
96764,Erwerbsstatus - Total,- Sekundärsektor,2011Q3
96826.5,Erwerbsstatus - Total,- Sekundärsektor,2011Q4
98475.4,Erwerbsstatus - Total,- Sekundärsektor,2012Q1
100227.9,Erwerbsstatus - Total,- Sekundärsektor,2012Q2
101325.8,Erwerbsstatus - Total,- Sekundärsektor,2012Q3
101188.3,Erwerbsstatus - Total,- Sekundärsektor,2012Q4
101361.8,Erwerbsstatus - Total,- Sekundärsektor,2013Q1
103656.7,Erwerbsstatus - Total,- Sekundärsektor,2013Q2
104586.5,Erwerbsstatus - Total,- Sekundärsektor,2013Q3
103794.1,Erwerbsstatus - Total,- Sekundärsektor,2013Q4
104511.8,Erwerbsstatus - Total,- Sekundärsektor,2014Q1
106066.9,Erwerbsstatus - Total,- Sekundärsektor,2014Q2
106714.5,Erwerbsstatus - Total,- Sekundärsektor,2014Q3
106828,Erwerbsstatus - Total,- Sekundärsektor,2014Q4
107367.9,Erwerbsstatus - Total,- Sekundärsektor,2015Q1
107965,Erwerbsstatus - Total,- Sekundärsektor,2015Q2
108044.1,Erwerbsstatus - Total,- Sekundärsektor,2015Q3
107605.1,Erwerbsstatus - Total,- Sekundärsektor,2015Q4
107776,Erwerbsstatus - Total,- Sekundärsektor,2016Q1
107926.3,Erwerbsstatus - Total,- Sekundärsektor,2016Q2
108225.9,Erwerbsstatus - Total,- Sekundärsektor,2016Q3
261.4,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2002Q1
268.8,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2002Q2
270.6,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2002Q3
264.1,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2002Q4
256.7,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2003Q1
253.9,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2003Q2
254,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2003Q3
249.3,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2003Q4
248.4,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2004Q1
256.8,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2004Q2
258,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2004Q3
248.6,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2004Q4
262,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2005Q1
244,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2005Q2
224.6,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2005Q3
218.7,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2005Q4
234.5,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2006Q1
275.7,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2006Q2
287.9,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2006Q3
295.7,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2006Q4
289.6,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2007Q1
261.7,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2007Q2
266.7,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2007Q3
252.6,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2007Q4
237.9,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2008Q1
244.5,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2008Q2
246.4,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2008Q3
242.1,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2008Q4
250.6,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2009Q1
258.5,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2009Q2
262.5,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2009Q3
264.6,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2009Q4
288,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2010Q1
313.4,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2010Q2
310.1,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2010Q3
303,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2010Q4
295.1,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2011Q1
278.4,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2011Q2
295.6,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2011Q3
297.6,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2011Q4
312.8,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2012Q1
303.5,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2012Q2
294.1,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2012Q3
295.5,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2012Q4
298.2,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2013Q1
319.2,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2013Q2
313,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2013Q3
314.7,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2013Q4
324.5,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2014Q1
329.2,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2014Q2
342,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2014Q3
351.1,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2014Q4
348.3,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2015Q1
356.6,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2015Q2
375.7,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2015Q3
374,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2015Q4
377.6,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2016Q1
365.8,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2016Q2
350.4,Erwerbsstatus - Total,> Bergbau und Gewinnung von Steinen und Erden,2016Q3
57801.3,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2002Q1
57779.4,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2002Q2
57666.2,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2002Q3
57375.3,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2002Q4
57262.1,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2003Q1
57157.6,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2003Q2
56969.1,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2003Q3
56694.7,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2003Q4
56997.5,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2004Q1
57826.6,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2004Q2
57164,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2004Q3
57158.4,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2004Q4
57645.4,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2005Q1
57672.8,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2005Q2
57424.1,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2005Q3
58019.2,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2005Q4
58785.8,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2006Q1
60236.9,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2006Q2
61705,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2006Q3
62792.7,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2006Q4
64411.8,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2007Q1
65803.2,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2007Q2
66694.2,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2007Q3
67274.2,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2007Q4
68381.1,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2008Q1
69307.3,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2008Q2
69516.9,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2008Q3
69616.2,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2008Q4
69494.2,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2009Q1
69522,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2009Q2
68756.9,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2009Q3
68187.1,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2009Q4
68897.5,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2010Q1
69944.9,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2010Q2
70178.8,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2010Q3
70551.8,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2010Q4
71775.2,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2011Q1
73139.7,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2011Q2
74097.3,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2011Q3
74637.8,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2011Q4
76001.7,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2012Q1
76725.8,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2012Q2
77151.6,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2012Q3
77479.3,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2012Q4
77569.5,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2013Q1
78587.1,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2013Q2
79104.1,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2013Q3
79127.4,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2013Q4
79464.4,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2014Q1
80323.2,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2014Q2
80720.8,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2014Q3
81291.9,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2014Q4
81538.7,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2015Q1
81561.8,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2015Q2
81578.2,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2015Q3
81635,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2015Q4
81717.5,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2016Q1
81583.1,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2016Q2
81794,Erwerbsstatus - Total,> Verarbeitendes Gewerbe/ Herstellung von Waren,2016Q3
3763,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2002Q1
3857.6,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2002Q2
3845.8,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2002Q3
3843.6,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2002Q4
3845.6,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2003Q1
3848.6,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2003Q2
3873.9,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2003Q3
3850.4,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2003Q4
3841.5,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2004Q1
3963.2,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2004Q2
3908.8,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2004Q3
3902.1,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2004Q4
3883.2,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2005Q1
3860.7,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2005Q2
3808.5,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2005Q3
3827.1,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2005Q4
3830.2,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2006Q1
3870.4,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2006Q2
3935.1,Erwerbsstatus - Total,"..... Herstellung von Nahrungs- und Genussmitteln, Getränken und Tabakerzeugnissen",2006Q3
