category,filename,datum_column,source_url,download_url,title
population,divorces_by_canton_duration_of_marriage_and_age_class_of_both_of_the_divorcing_partners.csv,Value,https://opendata.swiss/en/dataset/divorces-by-canton-duration-of-marriage-and-age-class-of-both-of-the-divorcing-partners,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020203_104,"Divorces by canton, duration of marriage and age class of both of the divorcing partners"
population,marriages_by_institutional_units_and_nationality_of_the_partners.csv,Value,https://opendata.swiss/en/dataset/marriages-by-institutional-units-and-nationality-of-the-partners,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020202_102,Marriages by institutional units and nationality of the partners
population,divorces_and_divortiality_since_1876.csv,Value,https://opendata.swiss/en/dataset/divorces-and-divortiality-since-1876,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020203_110,Divorces and divortiality since 1876
population,live_births_by_institutional_units_sex_and_nationality_of_the_child_and_age_group_of_the_mother.csv,Value,https://opendata.swiss/en/dataset/live-births-by-institutional-units-sex-and-nationality-of-the-child-and-age-group-of-the-mother,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020204_102,"Live births by institutional units, sex and nationality of the child and age group of the mother"
population,divorces_by_institutional_units_and_duration_of_marriage.csv,Value,https://opendata.swiss/en/dataset/divorces-by-institutional-units-and-duration-of-marriage,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020203_102,Divorces by institutional units and duration of marriage
population,permanent_and_non_permanent_resident_population_by_institutional_units_sex_marital_status_and_age_class.csv,Value,https://opendata.swiss/en/dataset/permanent-and-non-permanent-resident-population-by-institutional-units-sex-marital-status-and-age-cl,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102010000_103,"Permanent and non permanent resident population by institutional units, sex, marital status and age class"
population,vital_statistics_by_year_month_and_day_of_the_event.csv,Value,https://opendata.swiss/en/dataset/vital-statistics-by-year-month-and-day-of-the-event,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020201_101,"Vital statistics by year, month and day of the event"
population,permanent_and_non_permanent_resident_population_by_institutional_units_place_of_birth_and_citizenship.csv,Value,https://opendata.swiss/en/dataset/permanent-and-non-permanent-resident-population-by-institutional-units-place-of-birth-and-citizenshi,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102010000_104,"Permanent and non permanent resident population by institutional units, place of birth and citizenship"
population,divorces_by_institutional_units_duration_of_marriage_and_nationality_at_divorce_of_both_of_the_divorcing_partners.csv,Value,https://opendata.swiss/en/dataset/divorces-by-institutional-units-duration-of-marriage-and-nationality-at-divorce-of-both-of-the-divor,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020203_103,"Divorces by institutional units, duration of marriage and nationality (at divorce) of both of the divorcing partners"
population,permanent_and_non_permanent_resident_population_by_institutional_units_sex_citizenship_and_age.csv,Value,https://opendata.swiss/en/dataset/permanent-and-non-permanent-resident-population-by-institutional-units-sex-citizenship-and-age,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102010000_101,"Permanent and non permanent resident population by institutional units, sex, citizenship and age"
population,permanent_and_non_permanent_resident_population_by_region_gender_marital_status_and_place_of_birth.csv,Value,https://opendata.swiss/en/dataset/permanent-and-non-permanent-resident-population-by-region-gender-marital-status-and-place-of-birth,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102010000_100,"Permanent and non-permanent resident population by region, gender, marital status and place of birth"
population,permanent_and_non_permanent_resident_population_by_canton_sex_marital_status_and_age.csv,Value,https://opendata.swiss/en/dataset/permanent-and-non-permanent-resident-population-by-canton-sex-marital-status-and-age,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102010000_102,"Permanent and non permanent resident population by canton, sex, marital status and age"
population,marriages_by_age_class_nationality_and_marital_status_of_both_of_the_partners_1998_2006.csv,Value,https://opendata.swiss/en/dataset/marriages-by-age-class-nationality-and-marital-status-of-both-of-the-partners-1998-2006,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020202_105,"Marriages by age class, nationality and marital status of both of the partners, 1998-2006"
population,marriages_and_nuptiality_since_1801.csv,Value,https://opendata.swiss/en/dataset/marriages-and-nuptiality-since-1801,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0102020202_110,Marriages and nuptiality since 1801
